Artist,Song,Spins
Madame Mayhem,Get It Right,2
Memphis May Fire,Virus,2
Metallica,72 Seasons,2
Metallica,Lux Æterna,2
Metallica,Too Far Gone?,2
Modern Tiger,Bleed Me Dry,2
Moon Fever,Forever Sleep,2
Moon Fever,Getting Loud,2
Motionless In White,Cyberhex,2
Motionless In White,LOUD (Fuck It),2
Motionless In White,Reincarnate,2
Motionless In White,Sign Of Life,2
Nita Strauss,Victorious,2
Nonpoint,A Million Watts,2
Nonpoint,Divided.. Conquer Them,2
Nonpoint,Generation Idiot,2
Nonpoint,Left For You,2
Nonpoint,Paper Tigers,2
Nonpoint,When Doves Cry,2
Normandie,Blood In The Water,2
NOTHING MORE,Go To War,2
NOTHING MORE,IF IT DOESN'T HURT,2
NOTHING MORE,You Don't Know What Love Means,2
Of Mice & Men,Would You Still Be There,2
Otherwise,Angry Heart,2
Otherwise,I Don't Apologize (1000 Pictures),2
OTTTO,Dance Of The Dead,2
OVLIER,Heartless,2
Palaye Royale,Showbiz,2
Papa Roach,American Dreams,2
Papa Roach,Cut The Line,2
Papa Roach,Falling Apart,2
Papa Roach,Gravity,2
Papa Roach,Help,2
Papa Roach,Kill The Noise,2
Papa Roach,No Apologies,2
Papa Roach,Where Did The Angels Go,2
Pearl Jam,Dark Matter,2
Peyton Parrish,Poetry Glass,2
Pierce The Veil,Emergency Contact,2
Pierce The Veil,Karma Police,2
Pink Elefants,The Shadow,2
Pistols at Dawn,Not Sorry,2
Plush,Run,2
Point North,Safe And Sound,2
Pop Evil,Skeletons,2
Pop Evil,Waking Lions,2
Rancid,Bovver Rock And Roll,2
Remember the Monsters,Haunted,2
Rise Against,Audience Of One,2
Rise Against,Give It All,2
Rise Against,Help Is On The Way,2
Rise Against,House On Fire,2
Rise Against,Satellite,2
Rise Against,Savior,2
Rubikon,Lose It All,2
Saliva,Tragic Kind of Love,2
Saving Abel,Fire,2
Scarlet View,The Chase,2
Seether,Betray And Degrade,2
Seether,Let You Down,2
Seether,Nobody Praying For Me,2
Set It Off,Punching Bag,2
Sevendust,Everything,2
Shinedown,Cut the Cord,2
Sick Puppies,Stick To Your Guns,2
Sick Puppies,Where Do I Begin,2
Silent Theory,What Are The Odds,2
Sleep Token,The Summoning,2
Slipknot,Duality,2
Slipknot,Snuff,2
Split Persona,Hypo,2
Split Persona,Prey,2
Staind,Lowest In Me,2
Stitched Up Heart,Possess Me,2
Story Of The Year,War,2
Sum 41,Landmines,2
Tetrarch,Never Again (Parasite),2
The Amity Affliction,It's Hell Down Here,2
The Impulsive,Can't Escape,2
The Plot In You,Left Behind,2
The Pretty Reckless,Heaven Knows,2
The Pretty Reckless,Messed Up World,2
The Smashing Pumpkins,Empires,2
The Veer Union,Borderline,2
The Veer Union,NO EXCUSE,2
Three Days Grace,Chalk Outline,2
Three Days Grace,Human Race,2
Three Days Grace,The High Road,2
Three Days Grace,You Don't Get Me High Anymore,2
Through Fire,Lose It,2
Throw The Fight,Bury Me Alive,2
Throw The Fight,Hourglass,2
Throw The Fight,One Step Away,2
Uncured,Fight This War,2
Under Black Sky,Drown,2
Volbeat,A Warrior's Call,2
Volbeat,Doc Holiday,2
Volbeat,Heaven Nor Hell,2
Volbeat,Marie Laveau,2
Volbeat,The Devil's Bleeding Crown,2
Wage War,MAGNETIC,2
Westcreek,Tell Me It's Alright,2
Widow 7,Choke,2
Written By Wolves,Give 'Em Hell,2
Yungblud,11 Minutes,2
Zillion,War Inside Of Me,2
Above Snakes,Crash N Burn,1
All That Remains,Divine,1
All That Remains,For You,1
Another Day Dawns,Hesitate,1
Any Given Sin,Dynamite,1
Asking Alexandria,Psycho,1
Atreyu,Drowning,1
Atreyu,Watch Me Burn,1
Attack Attack!,Blood On The Walls,1
Austin Meade,Blackout,1
Avatar,Dance Devil Dance,1
Avenged Sevenfold,Nobody,1
Awaken I Am,Roses,1
Ayron Jones,"""Filthy""",1
Ayron Jones,Blood In The Water,1
Bad Omens,THE DEATH OF PEACE OF MIND,1
Bad Wolves,Legends Never Die,1
Beartooth,Might Love Myself,1
Black Out The Sun,Fallen Angel,1
Black Stone Cherry,Nervous,1
Black Stone Cherry,When the Pain Comes,1
Black Veil Brides,In The End,1
Blindlove,Juggernaut,1
Bring Me The Horizon,LosT,1
Bring Me The Horizon,True Friends,1
Bush,All Things Must Change,1
Bush,More Than Machines,1
Cane Hill,Fade,1
Chevelle,Joyride (Omen),1
Citizen Soldier,Through Hell,1
CloZure,The Devil Effect,1
Coheed and Cambria,The Joke,1
ColdWards,Bad News,1
Crown The Empire,Superstar,1
Dark Remedy,Now Or Never,1
Daughtry,Pieces,1
Dayseeker,Dreamstate,1
Disturbed,Hold On To Memories,1
Edge of Paradise,Hologram,1
Eric Bass Presents,Goodnight Goodnight,1
Falling In Reverse,Last Resort (Reimagined),1
Fame On Fire,Nightmare (The Devil),1
Filter,Face Down,1
Five Finger Death Punch,Got Your Six,1
Five Finger Death Punch,The Pride,1
Five Finger Death Punch,This Is The Way,1
From Ashes To New,Barely Breathing,1
From Ashes To New,Nightmare,1
Godsmack,Soul On Fire,1
Gone Cold,Harbinger,1
Highly Suspect,Summertime Voodoo (Edit),1
Holding Absence,A Crooked Melody,1
Invent Animate,Without A Whisper,1
Judas Priest,Crown of Horns,1
Judas Priest,Panic Attack,1
Kittie,We Are Shadows,1
Linkin Park,Friendly Fire,1
Lydia Cant Breathe,Please Be Over,1
Mammoth WVH,Another Celebration at the End of the World,1
Mammoth WVH,I'm Alright,1
Metallica,If Darkness Had A Son,1
Metallica,Screaming Suicide,1
Nevertel,Losing Faith,1
Nickelback,Skinny Little Missy,1
Nonpoint,Heartless,1
Nonpoint,Underdog,1
NOTHING MORE,Jenny,1
Of Mice & Men,Warpaint,1
Of Virtue,Cannibals,1
ONI,Control,1
ONI,Silhouette,1
Otherwise,Full Disclosure,1
OTTTO,My Pain,1
Oxymorrons,Look Alive (Netic),1
Papa Roach,Leave A Light On,1
Papa Roach,Stand Up,1
Pistols At Dawn,Fly (Radio Edit),1
Plush,Left Behind,1
Point North,Below The Belt,1
Point North,Recover,1
Rancid,Tomorrow Never Comes,1
Red Crown,Savior,1
Saint Asonia,Better Place,1
Saint Asonia,Wolf,1
Saliva,High on Me,1
Saul,A Million Miles,1
Scott Stapp,Higher Power,1
Seether,Against The Wall,1
Set It Off,Fake Ass Friends,1
Shallow Side,You're The Reason,1
Silent Theory,Agony,1
Silverstein,Poison Pill,1
Skindred,Gimme That Boom,1
Sleep Signals,Fearless,1
Sleep Theory,Fallout,1
Sleep Theory,Numb,1
Sleep Token,Granite,1
Staind,Here and Now,1
STARSET,Brave New World,1
Stitched Up Heart,To The Wolves,1
Stories Through Storms,Rats,1
Sum 41,Dopamine,1
The Almas,Burn Out,1
The Almas,Crowns,1
The Exies,For What It's Worth,1
The HU,Black Thunder,1
The HU,This Is Mongol (Warrior Souls),1
The Plot In You,Closure,1
The Used,MEDZ,1
The Warning,MORE,1
The Warning,S!CK,1
The Word Alive,Rise (Redux),1
Three Days Grace,I Am Machine,1
Three Days Grace,Painkiller,1
Uncured,Let's Break Out,1
Underoath,Let Go,1
Widow7,Pins and Needles,1
Written By Wolves,Misery,1
Zahna,This Is Your Calling,1
